ID,name,population,latitude,longitude
0,Skarszewy,7082,54.0717523,18.4459951
1,Nowa Karczma,792,54.1332171,18.2030529
2,Lubań,1000,54.1186528,18.1590104
3,Będomin,150,54.1233415,18.1232580
4,Mały Klincz,308,54.1251395,18.0561149
5,Nowy Klincz,586,54.1230709,18.0346019
6,Kościerzyna,23701,54.1210215,17.9781656
7,Kościerska Huta,308,54.1395739,18.0184846
8,Kaliska Kościerskie,322,54.1647301,18.0411972
9,Kłobuczyno,490,54.1854852,18.1003340
10,Grabowska Huta,74,54.1842463,18.1690156
11,Egiertowo,600,54.2394491,18.2030705
12,Kartuzy,14186,54.3342281,18.1973639
13,Hopowo,346,54.2554210,18.2352915
14,Borcz,510,54.2725375,18.2926722
15,Małkowo,390,54.3710830,18.3328877
16,Miszewo,290,54.3889730,18.3597010
17,Rębiechowo,463,54.3859299,18.4261849
18,Starogard Gdański,48621,53.9671805,18.5321130
19,Gdańsk,486345,54.3482907,18.6540233
20,Gdynia,244104,54.5164982,18.5402738
21,Chojnice,39484,53.6952912,17.5614973
22,Krosno Odrzańskie,11983,52.0536361,15.0980258
23,Słubice,16908,52.3557481,14.5662367
24,Kamierowo,221,54.0941862,18.4632576
25,Kamierowskie Piece,281,54.1053649,18.4553502
26,Szczecin,402465,53.4301818,14.5509623
27,Zielona Góra,140403,51.9383777,15.5050408
28,Poznań,548028,52.4082663,16.9335199
29,Wolin,4999,53.8437880,14.6157008
30,Kamień Pomorski,9070,53.9653947,14.7728556
31,Piaseczno,44880,52.0747377,21.0270885
32,Gliwice,185450,50.2941130,18.6657306
33,Tarnowskie Góry,60957,50.4445194,18.8554757
34,Chorzów,106846,50.2978791,18.9544466
35,Goleszów,4045,49.7336888,18.7402381
36,Truskaw,1400,52.3044149,20.7753509
37,Lublin,340466,51.2505590,22.5701022
38,Zgierz,57503,51.8559434,19.4056443
39,Piątek,2130,52.0689883,19.4799726
40,Gieczno,270,51.9971082,19.4512635
41,Łódź,711332,51.7687323,19.4569911
42,Tczew,59105,54.0869532,18.8000293
43,Człuchów,13386,53.6651462,17.3588324
44,Tuchola,13134,53.5880901,17.8590414
45,Kołbaskowo,410,53.3359128,14.4375977
46,Orle,840,54.0526083,18.2130554
47,Wierzchucino,1536,54.7876680,18.0006350
48,Władysławowo,15400,54.7901316,18.4087342
49,Liniewo,1052,54.0790817,18.2307257
50,Jastarnia,3874,54.7027640,18.6712892
51,Chałupy,376,54.7587099,18.5099321
52,Łeba,3824,54.7585207,17.5554170
53,Wielki Klincz,1960,54.0994693,18.0615505
54,Angowice,239,53.6556800,17.5618600
55,Stołczno,162,53.7121200,17.2604200
56,Rychnowy,611,53.6833914,17.4289480
57,Polnica,881,53.7528973,17.4007567
58,Pawłówko,242,53.7401000,17.2786600
59,Nowosiółki,54,53.6896700,17.3096500
60,Nieżywięć,391,53.6980400,17.4964100
61,Kołdowo,446,53.6830158,17.3341767
62,Kiełpin,175,53.7108179,17.3964303
63,Ględowo,667,53.6576531,17.4031004
64,Dobojewo,209,53.6978200,17.2606800
65,Czarnoszyce,97,53.7452500,17.4463800
